step,sim_time,current_step,time_step,com_ref_x,com_ref_y,com_ref_z,com_x,com_y,com_z,foot_ref_x,foot_ref_y,foot_ref_z,left_foot_x,left_foot_y,left_foot_z,right_foot_x,right_foot_y,right_foot_z,qp_status,foot_distance,warning,com_y_error,com_y_vel,com_y_acc,support_foot
1,0.3930788040161133,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-8.304495507408345e-05,0.0957346454150185,0.24160414098240587,0.0,0.0,0.0,0.04235216851329969,0.0809293010630483,0.00038297801652614066,-0.04235773508232331,0.09300665059037287,0.0,0,0.0,Standing phase,0.0,0.0,0.0,both
2,0.4050920009613037,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-8.123043299570862e-05,0.09573707220513597,0.24157792347069795,0.0,0.0,0.0,0.04235520435744607,0.0811881124839988,0.0003315821034853561,-0.04234330535151885,0.09290564948602677,-3.317844494208841e-05,0,0.0,Standing phase,0.0,0.0,0.0,both
3,0.414456844329834,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-7.831555048980649e-05,0.09573956848756043,0.24157920006505512,0.0,0.0,0.0,0.04235811217026022,0.08141899558105864,0.00030936972530342527,-0.04232946234164209,0.09279134861848046,-3.7917955218676885e-05,0,0.0,Standing phase,0.0,0.0,0.0,both
4,0.4222569465637207,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-7.444361768256865e-05,0.09574218478941514,0.24160689936300597,0.0,0.0,0.0,0.04236089745449812,0.08162297372993918,0.00031519517366937824,-0.042316186855385234,0.09266432635117415,-1.5338769218629922e-05,0,0.0,Standing phase,0.0,0.0,0.0,both
5,0.42721009254455566,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-6.974547476365678e-05,0.09574496920596648,0.24165997585020924,0.0,0.0,0.0,0.04236356533786369,0.0818010398658837,0.00034794684556324965,-0.04230346043183877,0.09252514269461316,3.347192553977349e-05,0,0.0,Standing phase,0.0,0.0,0.0,both
6,0.4346599578857422,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-6.434038130430846e-05,0.09574796747751299,0.241737409767837,0.0,0.0,0.0,0.04236612060940807,0.08195415733412352,0.00040654634219830163,-0.042291265300473974,0.0923743398474291,0.00010745914993452038,0,0.0,Standing phase,0.0,0.0,0.0,both
7,0.43995189666748047,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-5.833685028930723e-05,0.09575122305832875,0.2418382069428326,0.0,0.0,0.0,0.042368567752193026,0.08208326071611804,0.0004899475899699975,-0.04227958433927687,0.09221244272061574,0.0002055993091105955,0,0.0,Standing phase,0.0,0.0,0.0,both
8,0.4463009834289551,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-5.1833429909226474e-05,0.09575477717911678,0.24196139858482252,0.0,0.0,0.0,0.04237091097257646,0.08218925663231647,0.0005971359829187207,-0.04226840103663255,0.09203995944555937,0.0003268993864263686,0,0.0,Standing phase,0.0,0.0,0.0,both
9,0.4533710479736328,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-4.491943602248845e-05,0.0957586689042211,0.24210604105314865,0.0,0.0,0.0,0.04237315422644779,0.0822730245221553,0.00072712754622338,-0.042257699456596166,0.09185738186645503,0.00047039615520368463,0,0.0,Standing phase,0.0,0.0,0.0,both
10,0.4583780765533447,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-3.7675638062414415e-05,0.095762935184666,0.24227121559720638,0.0,0.0,0.0,0.04237530124271198,0.08233541740198717,0.0008789681202528814,-0.04224746420721953,0.09166518601767268,0.0006351554080061862,0,0.0,Standing phase,0.0,0.0,0.0,both
11,0.4663980007171631,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-3.0174901031935142e-05,0.09576761090792889,0.24245602807300998,0.0,0.0,0.0,0.04237735554429533,0.08237726260161266,0.0010517325647101186,-0.042237680411632963,0.09146383258661195,0.0008202712031678341,0,0.0,Standing phase,0.0,0.0,0.0,both
12,0.47078585624694824,-1,-1,-9.049297598877253e-05,0.09574808910265592,0.2415305651646886,-2.2482786099356886e-05,0.09577272894521509,0.24265960863867156,0.0,0.0,0.0,0.04237932046692153,0.08239936248006773,0.0012445239824137241,-0.0422283336816102,0.09125376736255951,0.0010248651282928137,0,0.0,Standing phase,0.0,0.0,0.0,both
