time,com_x,com_y,com_z,com_vx,com_vy,com_vz
0.0003025531768798828,0.0,0.0,0.4,1.6259652127063205e-20,-5.636528657136051e-19,-0.019620000000000002
0.0022978782653808594,3.251930425412641e-23,-1.1273057314272104e-21,0.39996076,3.077897631261722e-20,-1.003748029238034e-18,-0.039240000000000004
0.004342317581176758,9.407725687936084e-23,-3.1348017899032783e-21,0.39988228000000003,2.251110373623259e-20,-3.202797893937278e-19,-0.05886000000000001
0.0064411163330078125,1.3909946435182603e-22,-3.775361368690734e-21,0.39976456000000005,1.5249950953504264e-20,2.449070757178487e-19,-0.07848000000000001
0.0084991455078125,1.6959936625883457e-22,-3.2855472172550363e-21,0.39960760000000006,2.2711390581472847e-20,-2.372165347218233e-19,-0.0981
0.01064157485961914,2.1502214742178026e-22,-3.759980286698683e-21,0.3994114000000001,1.906674819347234e-20,4.068709442872779e-19,-0.11772
0.012679576873779297,2.5315564380872494e-22,-2.9462383981241275e-21,0.3991759600000001,1.638074666820266e-20,9.389728699531173e-19,-0.13734000000000002
0.014810800552368164,2.8591713714513027e-22,-1.068292658217893e-21,0.3989012800000001,1.8612861117230395e-20,3.7802465307685524e-19,-0.15696000000000002
0.016901493072509766,3.2314285937959108e-22,-3.1224335206418246e-22,0.39858736000000006,1.7397335135565798e-20,9.454713968235897e-19,-0.17658000000000001
0.018993377685546875,3.5793752965072267e-22,1.578699441582997e-21,0.39823420000000004,1.6596013510295333e-20,1.4128153977260318e-18,-0.1962
0.021085023880004883,3.9112955667131334e-22,4.4043302370350606e-21,0.3978418,1.8157032655042987e-20,7.832173522562564e-19,-0.21582
0.023190021514892578,4.274436219813993e-22,5.970764941547573e-21,0.39741016,1.5390825696249117e-20,1.2888423445175252e-18,-0.23544
0.0252683162689209,4.582252733738975e-22,8.548449630582623e-21,0.39693928,1.6720777403274866e-20,6.611409940252748e-19,-0.25506
0.027373790740966797,4.916668281804473e-22,9.870731618633172e-21,0.39642916,1.3435909292463847e-20,1.1773609096969723e-18,-0.27468000000000004
0.029447078704833984,5.185386467653749e-22,1.2225453438027117e-20,0.3958798,1.68652528066821e-20,5.545006960177637e-19,-0.29430000000000006
0.03153395652770996,5.522691523787392e-22,1.3334454830062645e-20,0.3952912,1.3258978473502851e-20,1.0756203180696647e-18,-0.3139200000000001
0.03361940383911133,5.787871093257449e-22,1.5485695466201974e-20,0.39466336,1.636544350147816e-20,4.557592345457303e-19,-0.3335400000000001
0.03574180603027344,6.115179963287012e-22,1.6397213935293434e-20,0.39399628000000003,1.5230714919830404e-20,9.798115901139716e-19,-0.35316000000000014
0.037790775299072266,6.4197942616836195e-22,1.8356837115521377e-20,0.39328996000000005,1.822486593636176e-20,3.6259016031450908e-19,-0.37278000000000017
0.03987312316894531,6.784291580410855e-22,1.9082017436150395e-20,0.39254440000000007,1.7216232645849002e-20,8.87183113031619e-19,-0.3924000000000002
0.041990041732788086,7.128616233327835e-22,2.0856383662213634e-20,0.3917596000000001,1.8054511979046008e-20,2.718756091616451e-19,-0.4120200000000002
0.04410409927368164,7.489706472908754e-22,2.1400134880536923e-20,0.39093556000000007,1.4799560426151673e-20,7.968106869429654e-19,-0.43164000000000025
0.04616832733154297,7.785697681431788e-22,2.2993756254422854e-20,0.39007228000000005,1.7874999840307703e-20,1.8235142742981191e-19,-0.45126000000000027
0.04824352264404297,8.143197678237942e-22,2.3358459109282478e-20,0.38916976000000003,1.661717031883128e-20,7.071655568228853e-19,-0.4708800000000003
0.050348520278930664,8.475541084614569e-22,2.477279022292825e-20,0.388228,1.955343729611827e-20,9.196060620626661e-20,-0.4905000000000003
0.0524296760559082,8.866609830536933e-22,2.4956711435340783e-20,0.387247,1.8365633200041703e-20,6.147323049905366e-19,-0.5101200000000004
0.05456733703613281,9.233922494537768e-22,2.6186176045321855e-20,0.38622676,2.133233331194329e-20,-3.325582382644345e-21,-0.5297400000000003
0.05660820007324219,9.660569160776633e-22,2.6179524880556567e-20,0.38516728,2.3720598839820025e-20,-5.1304500593818385e-19,-0.5493600000000003
0.05868983268737793,1.0134981137573033e-21,2.51534348686802e-20,0.38406856,2.2322225015581222e-20,6.428567938094541e-20,-0.5689800000000003
0.06078195571899414,1.0581425637884659e-21,2.528200622744209e-20,0.3829306,2.1469639665912016e-20,4.926685358265737e-19,-0.5886000000000002
0.06289815902709961,1.1010818431202898e-21,2.626734329909524e-20,0.3817534,2.2796943359519536e-20,-1.4835912058677548e-19,-0.6082200000000002
0.06498122215270996,1.1466757298393289e-21,2.5970625057921688e-20,0.38053696000000004,1.7449748544069133e-20,3.379778544711228e-19,-0.6278400000000002
0.06709980964660645,1.1815752269274671e-21,2.6646580766863933e-20,0.37928128000000005,1.2883253836946124e-20,7.206416947308608e-19,-0.6474600000000001
0.06918191909790039,1.2073417346013594e-21,2.8087864156325655e-20,0.3779863600000001,1.674792743789195e-20,1.3880593412689998e-20,-0.6670800000000001
0.07129883766174316,1.2408375894771434e-21,2.8115625343151037e-20,0.3766522000000001,1.537411369696868e-20,6.376189807142819e-19,-0.6867000000000001
